index,en,zh-tw
463,line graph of the road network,路網折線圖
464,main flow,主流
465,main velocity,主速度
466,non orbiting scroll mounting,非軌道渦旋安裝
467,slewing upper body,旋轉上半身
468,velocity of circulating flow,循環流速
469,velocity of the flow,流速
470,velocity of the fluid,流體速度
471,ventilation,通風
472,water flow line,水流線
473,air aperture,氣孔
474,air flow type,氣流類型
475,air hole,氣孔
476,air moves into the lungs,空氣進入肺部
477,air opening,空氣開口
478,air openings,空氣開口
479,air pressure of the lungs,肺氣壓
480,air vent housing,通風口外殼
481,air vent opening,通風口
482,air vent openings,通風口
483,air venting opening,通風口
484,air venting openings,通風口
485,air vents,通風口
486,bottom,底部
487,chamber,室
488,conventional air blower,傳統鼓風機
489,dynamic relationships,動態關係
490,flow diagram,流程圖
491,gaps,差距
492,gas vent opening,排氣口
493,gas vent openings,排氣口
494,gas venting opening,排氣口
495,gas venting openings,排氣口
496,heart opening,敞開心扉
497,locking wheel,鎖輪
498,openings,開口
499,outlet,出口
0,pressure ventilation,壓力通氣
1,supply opening,供應開放
2,supply openings,供應開口
3,trailer based collision warning,基於拖車的碰撞警告
4,vehicle safety belt,車輛安全帶
5,vent opening,通風口
6,vent openings,通風口
7,vent vents,風風
8,alight motion,下車動作
9,align shaft,對中軸
10,align with input pole,與輸入極對齊
11,align with input rod,對準輸入桿
12,align with input shaft,與輸入軸對齊
13,align with output shaft,與輸出軸對齊
14,align with shaft,與軸對齊
15,aligning characteristics,對齊特性
16,alignment receptacles,對準插座
17,brake shoe,制動蹄片
18,helical gear wheel,斜齒輪
19,in line alignment,直線對齊
20,input devices,輸入設備
21,input food,輸入食物
22,input member,輸入成員
23,intended alignment,預期對齊
24,ring gear,齒圈
25,roller scale,輥道秤
26,shaft of hair,一根頭髮
27,shaft system,軸系
28,teeth alignment,牙齒對齊
29,variable speed gearing,變速齒輪
30,alpha,α
31,alpha beta sulfate,αβ硫酸鹽
32,alpha brain waves,阿爾法腦電波
33,alpha calcium gypsum,α鈣石膏
34,alpha calcium sulfate,α硫酸鈣
35,alpha centauri,阿爾法半人馬座
36,alpha decay,阿爾法衰變
37,alpha gypsum,阿爾法石膏
38,alpha gypsum block,阿爾法石膏塊
39,alpha gypsum powder,α石膏粉
40,alpha hemihydrate gypsum,α半水石膏
41,alpha motor neuron,阿爾法運動神經元
42,alpha particle,阿爾法粒子
43,alpha rays,阿爾法射線
44,alpha sulfate,α硫酸鹽
45,alpha type gypsum,α型石膏
46,beta calcium,β鈣
47,beta gypsum,β石膏
48,beta sulfate,β硫酸鹽
49,calcium,鈣
50,calcium beta sulfate,β硫酸鈣
51,calcium gypsum,鈣石膏
52,calcium sulfate,硫酸鈣
53,calcium sulphate dihydrate,硫酸鈣二水合物
54,caso4,卡索4
55,composition,作品
56,delamination resistant two ply laminate,抗分層的兩層層壓板
57,gypsum,石膏
58,heating of gypsum stone under high pressure,石膏石高壓加熱
59,laminating,層壓
60,olefinic resins,烯烴樹脂
61,polymer composition,聚合物組成
62,polymer material,高分子材料
63,resin,樹脂
64,resin composition,樹脂組合物
65,resin material,樹脂材料
66,substrate wrap,基材包裹
67,wooden floor,木地板
68,alkane,烷烴
69,alphabet,字母
70,alps mountain,阿爾卑斯山
71,blocked,被封鎖
72,carbon and hydrogen,碳和氫
73,chemical compound,化學合成物
74,cyclic compounds,環狀化合物
75,double bonds,雙鍵
76,gold chain,金鍊子
77,hydrocarbons,碳氫化合物
78,inorganic compound,無機化合物
79,open chain,開鏈
80,organic class,有機類
81,saturated,飽和的
82,saturated like hexane,像己烷一樣飽和
83,silver chain,銀鍊
84,single bonds,單鍵
85,unsaturated,不飽和
86,unsaturated like hexene,像己烯一樣不飽和
87,alumina,氧化鋁
88,aluminium chloride,氯化鋁
89,aluminium hydroxide,氫氧化鋁
90,aluminium oxide,氧化鋁
91,aluminum,鋁
92,aluminum compounds,鋁化合物
93,aluminum containing compounds,含鋁化合物
94,aluminum hydroxide,氫氧化鋁
95,aluminum nitride,氮化鋁
96,aluminum nitride compounds,氮化鋁化合物
97,battery,電池
98,bauxite,鋁土礦
99,boron compounds,硼化合物
100,boron containing compounds,含硼化合物
101,boron containing nitride,含硼氮化物
102,boron nitride,氮化硼
103,boron nitride compounds,氮化硼化合物
104,compounds of aluminium,鋁的化合物
105,flower extract,花提取物
106,leaf extract,葉提取物
107,metal,金屬
108,nitrides,氮化物
109,oxides,氧化物
110,phosphorus,磷
111,recycle bin,回收站
112,salt,鹽
113,seat belt,安全帶
114,text,文本
115,zeolites,沸石
116,agglutination,凝集
117,aluminium,鋁
118,aluminium al compound,鋁化合物
119,aluminium al compounds,鋁化合物
120,aluminium catalysts,鋁催化劑
121,aluminium compound,鋁化合物
122,aluminium nitride,氮化鋁
123,aluminium trichloride,三氯化鋁
124,aluminiumi compounds,鋁化合物
125,aluminiumii compounds,鋁化合物
126,aluminum catalysts,鋁催化劑
127,compound,化合物
128,compounds,化合物
129,copper utensils,銅器皿
130,halides,鹵化物
131,plastic,塑料
132,selenide,硒化物
133,sulfide,硫化物
134,bonded layers,粘合層
135,crystalline aluminosilicates,結晶鋁矽酸鹽
136,feldspar compound,長石化合物
137,glass composition,玻璃成分
138,hydrocarbon compounds,碳氫化合物
139,knaalsi3o8,knaalsi3o8
140,kyanite,藍晶石
141,molten material,熔融材料
142,petroleum generating compounds,石油生成化合物
143,phase diagram,相圖
144,propana compound,丙烷化合物
145,rocks,岩石
146,silicates,矽酸鹽
147,sillimanite,矽線石
148,tetrahedral,四面體
149,zeolite,沸石
150,zeolite material,沸石材料
151,aluminium silicate properties,矽酸鋁性質
152,aluminium table,鋁製桌子
153,aluminosilicate,鋁矽酸鹽
154,aluminosilicate zeolites,鋁矽酸鹽沸石
155,cable silica,電纜二氧化矽
156,containing zeolites,含沸石
157,crystalline alumino silicates,結晶鋁矽酸鹽
158,example,例子
159,glass,玻璃
160,hydrated aluminum silicates,水合矽酸鋁
161,hydrous silicates,水合矽酸鹽
162,minerals,礦物質
163,oxides containing,含氧化物
164,oxides containing zeolites,含沸石的氧化物
165,oxides materials,氧化物材料
166,oxides which zeolites,沸石氧化物
167,parallel configuration,並行配置
168,refractory silicates,耐火矽酸鹽
169,rock layer,岩層
170,rubber and paint,橡膠和油漆
171,silica aluminas,二氧化矽氧化鋁
172,silicate,矽酸鹽
173,silicate zeolites,矽酸鹽沸石
174,silicoaluminates,矽鋁酸鹽
175,silicon,矽
176,sodium aluminum silicates,矽酸鋁鈉
177,tensile strength,抗拉強度
178,thermal conductivity,導熱係數
179,top layer,頂層
180,ammonia,氨
181,ammonia concentration,氨濃度
182,ammonia extraction,氨萃取
183,ammonia poisoning,氨中毒
184,ammonia recovery plant,氨回收廠
185,ammonia separation,氨分離
186,ammonia solution concentration,氨溶液濃度
187,ammonia solution recovery,氨溶液回收
188,ammoniacal liquor,氨水
189,ammonium concentration,銨濃度
190,ammonium recovery,銨回收
191,aqueous ammonia concentration,氨水濃度
192,aqueous ammonia recovery,氨水回收
193,aqueous solution concentration,水溶液濃度
194,aqueous solution recovery,水溶液回收
195,bipolar membrane electrodialysis,雙極膜電滲析
196,electrodialysis,電滲析
197,evaporation,蒸發
198,hydrogen recovery,氫氣回收
199,hyperammonemia,高氨血症
200,metal extraction,金屬提取
201,nh3 recovery,氨氣回收
202,nitrogen compounds preparation,氮化合物製備
203,nitrogen purification,氮氣淨化
204,nitrogen recovery,氮回收
205,nitrogen removal,除氮
206,nitrogen separation,氮氣分離
207,obtain nh3,獲得NH3
208,obtain solution,獲得解決方案
209,polyatomic cations,多原子陽離子
210,protonation of ammonia,氨質子化
211,purification,純化
212,recovering ammonia,回收氨
213,recovering of ammonia,氨的回收
214,recovering of water,水的回收
215,recovering recovery,恢復恢復
216,recovering recovery ammonia,回收 回收氨
217,recovering recovery water,回收再生水
218,recovery,恢復
219,recovery ammonia,回收氨
220,recovery from injury,從傷病中恢復
221,recovery of ammonia,氨的回收
222,recovery of water,水的回收
223,recovery water,回收水
224,recycling process,回收過程
225,separation,分離
226,solvay process,求解過程
227,speedy recovery,早日康復
228,syngas recovery,合成氣回收
229,syngas removal,合成氣去除
230,tooth extraction,拔牙
231,alloy separation,合金分離
232,aluminium separation,鋁分離
233,ammonia from wastewater,廢水中的氨
234,ammonia gas recovery,氨氣回收
235,ammonia production,氨生產
236,ammonia recover,氨回收
237,ammonia recovery process,氨回收工藝
238,ammonia recovery tower,氨回收塔
239,ammoniacal liquor preparation,氨水製備
240,ammonium gas recovery,氨氣回收
241,ammonium recover,銨回收
242,azane separation,氮烷分離
243,binary hydride,二元氫化物
244,chemical extraction,化學萃取
245,colourless gas,無色氣體
246,distillation process,蒸餾工藝
247,froth separation,泡沫分離
248,gas recovery,氣體回收
249,nitrogenous waste,含氮廢物
250,recovery of money,追回金錢
251,recovery of password,找回密碼
252,recovery of vehicle,車輛回收
253,regenerate hydrogen nitride,再生氮化氫
254,sour removal,去酸
255,sour shift,酸轉變
256,sweet shift,甜蜜的轉變
257,urea recovery,尿素回收
258,agonists,激動劑
259,androgen deprivation,雄激素剝奪
260,androgen independent,不依賴雄激素
261,androgen receptor ligands,雄激素受體配體
262,androgenic drugs,雄激素藥物
263,ar agonists,受體激動劑
264,bind to androgen receptor,與雄激素受體結合
265,chelating ligand,螯合配體
266,coordination ligand,配位體
267,described below,如下面所描述的
268,dirt receptor,污垢受體
269,enobosarm,依諾沙姆
270,estrogen receptor modulators,雌激素受體調節劑
271,follows,跟隨
272,hormone,激素
273,inhibitors,抑製劑
274,mediator,調解員
275,modular protein,模塊化蛋白質
276,modulators,調節劑
277,pharmacological treatment,藥物治療
278,receptor,受體
279,receptor modulators,受體調節劑
280,running track,運行軌道
281,sarms,武器
282,selective androgen,選擇性雄激素
283,selective androgen receptor modulators,選擇性雄激素受體調節劑
284,selective estrogen receptor modulators,選擇性雌激素受體調節劑
285,sports club,體育俱樂部
286,steroides,類固醇
287,testosterone receptor modulators,睾酮受體調節劑
288,therapeutics,療法
289,angular ball bearing,角球軸承
290,angular contact ball bearing,角接觸球軸承
291,angular contact bearing,角接觸軸承
292,angular eye disease,角眼病
293,angular webpack,有角度的 webpack
294,axial angular contact bearing,軸向角接觸軸承
295,bearing joints,軸承接頭
296,bearing systems,軸承系統
297,ceramic sputtering target,陶瓷濺射靶材
298,contact lens,隱形眼鏡
299,contact therapy radiation,接觸治療放射
300,contact tracing,接觸者追踪
301,cylindrical roller,圓柱滾子
302,electromotive iron material cutter,電動鐵料切割機
303,load bearings,承重軸承
304,machine elements,機器元件
305,molten solder applicating apparatus,熔融焊料塗敷裝置
306,outer ring race,外圈座圈
307,radial angular contact bearing,徑向角接觸軸承
